Temperature_K,Total_pressure_bar,Partial_pressure_CH4_bar,Partial_pressure_N2_bar,CH4_loading_mmol_g,N2_loading_mmol_g,CH4_N2_selectivity
313,0.41000000000000003,0.20500000000000002,0.20500000000000002,0.17648862432029833,0.018882005636052253,9.346921493515538
313,0.42000000000000004,0.21000000000000002,0.21000000000000002,0.18036676398877974,0.0187816091497943,9.603371178169532
313,0.43,0.215,0.215,0.18426015976931717,0.018668449971724174,9.87013705199968
313,0.44,0.22,0.22,0.18816939822615317,0.0185434029533891,10.147511689151004
313,0.45,0.225,0.225,0.19209497962691666,0.018407291410646218,10.435809122672701
313,0.46,0.23,0.23,0.19603732427082507,0.01826089093174884,10.73536472034832
313,0.47000000000000003,0.23500000000000001,0.23500000000000001,0.19999677818358672,0.01810493288982235,11.046535184674145
313,0.48000000000000004,0.24000000000000002,0.24000000000000002,0.20397361825657334,0.017940107675384613,11.369698663316434
313,0.49,0.245,0.245,0.2079680568987888,0.017767067665739426,11.705254958859506
313,0.5,0.25,0.25,0.21198024626207607,0.01758642994853355,12.05362582868913
313,0.51,0.255,0.255,0.2160102820928251,0.017398778816712358,12.415255367539757
313,0.52,0.26,0.26,0.22005820725706451,0.017204668051709494,12.790610466628506
313,0.53,0.265,0.265,0.2241240149801734,0.017004623011070055,13.180181344465447
313,0.54,0.27,0.27,0.22820765183744995,0.016799142535926712,13.584482145407373
313,0.55,0.275,0.275,0.23230902052734675,0.016588700692883672,14.004051602848207
313,0.56,0.28,0.28,0.23642798245527774,0.016373748363958225,14.439453764643243
313,0.5700000000000001,0.28500000000000003,0.28500000000000003,0.24056436015242036,0.016154714697326007,14.891278778958538
313,0.5800000000000001,0.29000000000000004,0.29000000000000004,0.24471793955088544,0.015932008430715253,15.360143739259813
313,0.59,0.295,0.295,0.24888847213388984,0.015706019098438523,15.846693587596242
313,0.6,0.3,0.3,0.25307567697716515,0.01547711813222168,16.351602075730693
313,0.61,0.305,0.305,0.2572792426956755,0.01524565986521858,16.875572784004703
313,0.62,0.31,0.31,0.2614988293078212,0.015011982447863744,17.41934019813841
313,0.63,0.315,0.315,0.26573407002760174,0.014776408683537754,17.98367084443552
313,0.64,0.32,0.32,0.2699845729936924,0.014539246791388424,18.569364484108206
313,0.65,0.325,0.325,0.2742499229430505,0.014300791103060663,19.177255367666717
313,0.66,0.33,0.33,0.2785296828354553,0.014061322699547189,19.808213550523572
313,0.67,0.335,0.335,0.2828233954343174,0.013821109993872932,20.463146271153075
313,0.68,0.34,0.34,0.28713058484813647,0.013580409264859492,21.142999393332882
313,0.6900000000000001,0.34500000000000003,0.34500000000000003,0.29145075803614423,0.013339465146790703,21.848758914165565
313,0.7000000000000001,0.35000000000000003,0.35000000000000003,0.2957834062808953,0.013098511079410301,22.581452539734883
313,0.7100000000000001,0.35500000000000004,0.35500000000000004,0.30012800662992756,0.012857769722309714,23.34215133042637
313,0.72,0.36,0.36,0.30448402330799945,0.01261745333743797,24.13197141807907
313,0.73,0.365,0.365,0.3088509091009086,0.012377764143146244,24.95207579730173
313,0.74,0.37,0.37,0.3132281067114378,0.012138894642897134,25.803676193426547
313,0.75,0.375,0.375,0.31761505008758645,0.011901027931497703,26.688035009730097
313,0.76,0.38,0.38,0.32201116572290717,0.011664337981469729,27.606467356695468
313,0.77,0.385,0.385,0.3264158739284862,0.011428989911938803,28.560343166241655
313,0.78,0.39,0.39,0.33082859007587084,0.011195140242209087,29.55108939399851
313,0.79,0.395,0.395,0.3352487258100532,0.010962937131991401,30.580192312856564
313,0.8,0.4,0.4,0.3396756902314742,0.010732520610064465,31.649199901180896
313,0.81,0.405,0.405,0.3441088910458905,0.010504022792977907,32.75972432922864
313,0.8200000000000001,0.41000000000000003,0.41000000000000003,0.3485477356808856,0.010277568095237754,33.913444547488794
313,0.8300000000000001,0.41500000000000004,0.41500000000000004,0.35299163236773284,0.010053273432272672,35.112108980799356
313,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.3574399911873553,0.009831248417319999,36.35753833232845
313,0.85,0.425,0.425,0.3618922250790516,0.009611595553268284,37.65162850157541
313,0.86,0.43,0.43,0.3663477508107964,0.009394410420332427,38.99635362086224
313,0.87,0.435,0.435,0.37080598990989794,0.009179781860353254,40.39376921486331
313,0.88,0.44,0.44,0.37526636955289316,0.008967792158396905,41.846015487938814
313,0.89,0.445,0.445,0.37972832341372814,0.008758517222207503,43.35532074435097
313,0.9,0.45,0.45,0.3841912924691916,0.008552026760034725,44.92400494635866
313,0.91,0.455,0.455,0.38865472576095544,0.008348384457187302,46.55448341581278
313,0.92,0.46,0.46,0.3931180811134432,0.008147648151670493,48.2492706846752
313,0.93,0.465,0.465,0.3975808258070767,0.00794987000913192,50.010984500423326
313,0.9400000000000001,0.47000000000000003,0.47000000000000003,0.40204243720649036,0.0077550966973088924,51.84234999236099
313,0.9500000000000001,0.47500000000000003,0.47500000000000003,0.4065024033435028,0.0075633695600949066,53.74620400518971
313,0.9600000000000001,0.48000000000000004,0.48000000000000004,0.4109602234547247,0.007374724791306908,55.72549960632451
313,0.97,0.485,0.485,0.4154154084739768,0.007189193608145698,57.7833107740055
313,0.98,0.49,0.49,0.4198674814795877,0.007006802424373363,59.92283727297156
